"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4111","test_with_valid_crendentional","tests","Sat Jan 31 19:00:14 UTC 2026","passed","Sat Jan 31 19:00:18 UTC 2026","TestProfileFeatures","features_profile_test","",""
"","7695","test_if_search_for_july_in_calendar","tests","Sat Jan 31 19:03:27 UTC 2026","broken","Sat Jan 31 19:03:35 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25667","test_add_country","tests","Sat Jan 31 19:00:45 UTC 2026","broken","Sat Jan 31 19:01:10 UTC 2026","TestNationalities","features_profile_test","",""
"","26628","Validate 'Required' error when Nationality field is empty","tests","Sat Jan 31 19:00:14 UTC 2026","broken","Sat Jan 31 19:00:40 UTC 2026","TestNationalities","features_profile_test","",""
"","31383","test_find_a_new_report","tests","Sat Jan 31 19:01:30 UTC 2026","broken","Sat Jan 31 19:02:01 UTC 2026","TestPimReports","features_profile_test","",""
"","18150","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_descending_vacancy_in_table-Vacancy-Descending]","tests","Sat Jan 31 19:02:48 UTC 2026","passed","Sat Jan 31 19:03:07 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","8412","test_shown_error_when_empty_fields","tests","Sat Jan 31 19:02:19 UTC 2026","passed","Sat Jan 31 19:02:28 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","7235","Directory filter by Job Title: Chief Financial Officer","tests","Sat Jan 31 19:01:26 UTC 2026","failed","Sat Jan 31 19:01:34 UTC 2026","TestDirectory","features_profile_test","",""
"","19167","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_descending_candidate_in_table-Candidate-Descending]","tests","Sat Jan 31 19:03:04 UTC 2026","passed","Sat Jan 31 19:03:23 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","9206","test_add_new_candidate","tests","Sat Jan 31 19:02:10 UTC 2026","passed","Sat Jan 31 19:02:19 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","19803","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_descending_hiring_in_table-Hiring-Descending]","tests","Sat Jan 31 19:03:14 UTC 2026","passed","Sat Jan 31 19:03:34 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","13983","test_add_report","tests","Sat Jan 31 19:01:15 UTC 2026","passed","Sat Jan 31 19:01:29 UTC 2026","TestPimReports","features_profile_test","",""
"","26586","Add nationality: Kyiv and delete","tests","Sat Jan 31 19:00:14 UTC 2026","broken","Sat Jan 31 19:00:40 UTC 2026","TestNationalities","features_profile_test","",""
"","19289","test_sorting_in_candidates_table[click_on_sort_icon_hiring-are_sorted_ascending_hiring_in_table-Hiring-Ascending]","tests","Sat Jan 31 19:03:07 UTC 2026","passed","Sat Jan 31 19:03:26 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","19846","test_sorting_in_candidates_table[click_on_sort_icon_btn-are_sorted_ascending_vacancy_in_table-Vacancy-Ascending]","tests","Sat Jan 31 19:02:43 UTC 2026","passed","Sat Jan 31 19:03:03 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","7938","Directory: No records found for Support Specialist filter","tests","Sat Jan 31 19:01:34 UTC 2026","passed","Sat Jan 31 19:01:42 UTC 2026","TestDirectory","features_profile_test","",""
"","29649","Add new vacancy with Job Title: QA Lead","tests","Sat Jan 31 19:01:57 UTC 2026","broken","Sat Jan 31 19:02:27 UTC 2026","TestVacancies","features_profile_test","",""
"","9009","test_found_invalid_data","tests","Sat Jan 31 19:02:28 UTC 2026","passed","Sat Jan 31 19:02:37 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","30227","test_vacancy_existed","tests","Sat Jan 31 19:01:43 UTC 2026","broken","Sat Jan 31 19:02:14 UTC 2026","TestVacancies","features_profile_test","",""
"","5472","test_hidden_block","tests","Sat Jan 31 19:02:38 UTC 2026","passed","Sat Jan 31 19:02:43 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25681","test_scraping_all_countries_in_table","tests","Sat Jan 31 19:00:18 UTC 2026","broken","Sat Jan 31 19:00:44 UTC 2026","TestNationalities","features_profile_test","",""
"","12173","test_show_error_when_empty_field","tests","Sat Jan 31 19:02:14 UTC 2026","passed","Sat Jan 31 19:02:26 UTC 2026","TestVacancies","features_profile_test","",""
"","35348","test_are_fonded_valid_date_via_calendar","tests","Sat Jan 31 19:03:23 UTC 2026","passed","Sat Jan 31 19:03:59 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25787","Edit nationality and verify update notification","tests","Sat Jan 31 19:00:41 UTC 2026","broken","Sat Jan 31 19:01:07 UTC 2026","TestNationalities","features_profile_test","",""
"","13262","Vacancies filter: Software Engineer","tests","Sat Jan 31 19:02:27 UTC 2026","passed","Sat Jan 31 19:02:41 UTC 2026","TestVacancies","features_profile_test","",""
"","7636","Directory filter by Job Title: HR Manager","tests","Sat Jan 31 19:01:11 UTC 2026","passed","Sat Jan 31 19:01:19 UTC 2026","TestDirectory","features_profile_test","",""
"","8624","test_found_no_records","tests","Sat Jan 31 19:02:39 UTC 2026","passed","Sat Jan 31 19:02:48 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25702","Validate error when nationality already exists (Ukraine)","tests","Sat Jan 31 19:01:07 UTC 2026","broken","Sat Jan 31 19:01:33 UTC 2026","TestNationalities","features_profile_test","",""
"","7559","test_find_invalid_report","tests","Sat Jan 31 19:02:02 UTC 2026","passed","Sat Jan 31 19:02:09 UTC 2026","TestPimReports","features_profile_test","",""
"","12872","Vacancies filter: Sales Representative","tests","Sat Jan 31 19:02:41 UTC 2026","passed","Sat Jan 31 19:02:54 UTC 2026","TestVacancies","features_profile_test","",""
"","27679","test_if_search_for_invalid_record_via_calendar","tests","Sat Jan 31 19:03:35 UTC 2026","broken","Sat Jan 31 19:04:03 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","25872","Add nationality: Portu and delete","tests","Sat Jan 31 19:00:41 UTC 2026","broken","Sat Jan 31 19:01:07 UTC 2026","TestNationalities","features_profile_test","",""
"","40417","test_if_search_for_invalid_data_via_calendar","tests","Sat Jan 31 19:03:59 UTC 2026","passed","Sat Jan 31 19:04:40 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","19433","test_sorting_in_candidates_table[click_on_sort_icon_candidate-are_sorted_ascending_candidate_in_table-Candidate-Ascending]","tests","Sat Jan 31 19:02:54 UTC 2026","passed","Sat Jan 31 19:03:14 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","7454","Directory filter by Job Title: Software Engineer","tests","Sat Jan 31 19:01:07 UTC 2026","passed","Sat Jan 31 19:01:15 UTC 2026","TestDirectory","features_profile_test","",""
"","12137","test_found_candidate","tests","Sat Jan 31 19:02:27 UTC 2026","passed","Sat Jan 31 19:02:39 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
"","8605","test_hide_block","tests","Sat Jan 31 19:01:48 UTC 2026","passed","Sat Jan 31 19:01:57 UTC 2026","TestPimReports","features_profile_test","",""
"","6979","Directory filter by Job Title: QA Engineer","tests","Sat Jan 31 19:01:19 UTC 2026","passed","Sat Jan 31 19:01:26 UTC 2026","TestDirectory","features_profile_test","",""
"","14130","test_delete_report","tests","Sat Jan 31 19:01:34 UTC 2026","passed","Sat Jan 31 19:01:48 UTC 2026","TestPimReports","features_profile_test","",""
"","6566","test_if_search_for_11_in_calendar","tests","Sat Jan 31 19:03:35 UTC 2026","broken","Sat Jan 31 19:03:41 UTC 2026","TestRecruitmentCandidate","features_profile_test","",""
