"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 09:16:51 GMT 2024","Thu Apr 04 09:17:27 GMT 2024","35618","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_invalid_record_via_calendar",""
"passed","Thu Apr 04 09:14:08 GMT 2024","Thu Apr 04 09:14:26 GMT 2024","18172","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_hiring",""
"passed","Thu Apr 04 09:07:31 GMT 2024","Thu Apr 04 09:07:45 GMT 2024","13576","tests","features_profile_test","TestDirectory","","","test_each_user_have_email",""
"broken","Thu Apr 04 09:15:46 GMT 2024","Thu Apr 04 09:16:16 GMT 2024","29937","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_11_in_calendar",""
"failed","Thu Apr 04 09:12:17 GMT 2024","Thu Apr 04 09:12:26 GMT 2024","8716","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_sales_after_chosen_from_dropdown",""
"passed","Thu Apr 04 09:05:26 GMT 2024","Thu Apr 04 09:05:59 GMT 2024","32995","tests","features_profile_test","TestNationalities","","","test_delete_porto",""
"passed","Thu Apr 04 09:04:50 GMT 2024","Thu Apr 04 09:05:14 GMT 2024","24043","tests","features_profile_test","TestNationalities","","","test_delete_kyiv_from_table",""
"failed","Thu Apr 04 09:12:08 GMT 2024","Thu Apr 04 09:12:17 GMT 2024","8560","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_qa_lead_after_chosen_from_dropdown",""
"passed","Thu Apr 04 09:06:11 GMT 2024","Thu Apr 04 09:06:20 GMT 2024","9567","tests","features_profile_test","TestNationalities","","","test_empty_field",""
"passed","Thu Apr 04 09:12:34 GMT 2024","Thu Apr 04 09:12:43 GMT 2024","8314","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_only_engineer_chosen_from_dropdown",""
"passed","Thu Apr 04 09:11:15 GMT 2024","Thu Apr 04 09:11:23 GMT 2024","7865","tests","features_profile_test","TestRecruitmentCandidate","","","test_shown_error_when_empty_fields",""
"broken","Thu Apr 04 09:08:00 GMT 2024","Thu Apr 04 09:08:24 GMT 2024","24416","tests","features_profile_test","TestPimReports","","","test_find_a_new_report",""
"passed","Thu Apr 04 09:06:32 GMT 2024","Thu Apr 04 09:06:40 GMT 2024","7621","tests","features_profile_test","TestDirectory","","","test_is_display_employee_after_filters",""
"passed","Thu Apr 04 09:12:02 GMT 2024","Thu Apr 04 09:12:08 GMT 2024","5406","tests","features_profile_test","TestRecruitmentCandidate","","","test_hidden_block",""
"broken","Thu Apr 04 09:10:53 GMT 2024","Thu Apr 04 09:11:15 GMT 2024","22421","tests","features_profile_test","TestRecruitmentCandidate","","","test_add_new_candidate",""
"broken","Thu Apr 04 09:15:15 GMT 2024","Thu Apr 04 09:15:45 GMT 2024","30115","tests","features_profile_test","TestRecruitmentCandidate","","","test_if_search_for_july_in_calendar",""
"passed","Thu Apr 04 09:08:24 GMT 2024","Thu Apr 04 09:08:33 GMT 2024","8324","tests","features_profile_test","TestPimReports","","","test_find_invalid_report",""
"passed","Thu Apr 04 09:07:24 GMT 2024","Thu Apr 04 09:07:31 GMT 2024","7190","tests","features_profile_test","TestDirectory","","","test_all_locations_are_presented_in_dropdown",""
"passed","Thu Apr 04 09:10:02 GMT 2024","Thu Apr 04 09:10:15 GMT 2024","12308","tests","features_profile_test","TestVacancies","","","test_show_error_when_empty_field",""
"passed","Thu Apr 04 09:13:11 GMT 2024","Thu Apr 04 09:13:29 GMT 2024","18359","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_descending_vacancy",""
"passed","Thu Apr 04 09:04:27 GMT 2024","Thu Apr 04 09:04:38 GMT 2024","11524","tests","features_profile_test","TestNationalities","","","test_add_country",""
"passed","Thu Apr 04 09:08:33 GMT 2024","Thu Apr 04 09:08:46 GMT 2024","13220","tests","features_profile_test","TestPimReports","","","test_delete_report",""
"failed","Thu Apr 04 09:10:15 GMT 2024","Thu Apr 04 09:10:28 GMT 2024","12881","tests","features_profile_test","TestVacancies","","","test_display_engineer_in_table_after_chosen_dropdown",""
"broken","Thu Apr 04 09:14:45 GMT 2024","Thu Apr 04 09:15:15 GMT 2024","29961","tests","features_profile_test","TestRecruitmentCandidate","","","test_search_for_valid_data_via_calendar",""
"passed","Thu Apr 04 09:17:31 GMT 2024","Thu Apr 04 09:17:36 GMT 2024","5187","tests","features_profile_test","TestForgotPassword","","","test_back_page",""
"passed","Thu Apr 04 09:08:46 GMT 2024","Thu Apr 04 09:08:56 GMT 2024","9436","tests","features_profile_test","TestPimReports","","","test_sort_ascending_name",""
"broken","Thu Apr 04 09:10:28 GMT 2024","Thu Apr 04 09:10:52 GMT 2024","24388","tests","features_profile_test","TestVacancies","","","test_display_sales_in_table_after_chosen_dropdown",""
"broken","Thu Apr 04 09:09:14 GMT 2024","Thu Apr 04 09:09:38 GMT 2024","23449","tests","features_profile_test","TestVacancies","","","test_add_vacancy_QA",""
"passed","Thu Apr 04 09:11:54 GMT 2024","Thu Apr 04 09:12:02 GMT 2024","8360","tests","features_profile_test","TestRecruitmentCandidate","","","test_found_no_records",""
"passed","Thu Apr 04 09:17:37 GMT 2024","Thu Apr 04 09:17:42 GMT 2024","5477","tests","features_profile_test","TestForgotPassword","","","test_sent_reset_password",""
"passed","Thu Apr 04 09:07:45 GMT 2024","Thu Apr 04 09:07:59 GMT 2024","13951","tests","features_profile_test","TestPimReports","","","test_add_report",""
"passed","Thu Apr 04 09:12:52 GMT 2024","Thu Apr 04 09:13:10 GMT 2024","18193","tests","features_profile_test","TestRecruitmentCandidate","","","test_sorted_ascending_vacancy",""
"passed","Thu Apr 04 09:03:48 GMT 2024","Thu Apr 04 09:04:26 GMT 2024","38565","tests","features_profile_test","TestNationalities","","","test_scraping_all_countries_in_table",""
